Year,Growth Rate,Population Change,Median Age,Fertility Rate,Urban Population %
2024,0.87 %,"70,237,642",30.6,2.25,55
139,"3,030,131",2.26 %,"67,036",4,"823,290","4,211",3.211,21,53.7 %,0 %
140,"2,973,840",1.03 %,"30,447",104,"28,470","-29,966",1.716,36,63.1 %,0 %
141,"2,859,110",0.18 %,"5,011",46,"62,674","2,617",1.211,42,67.5 %,0 %
142,"2,839,175",-0.02 %,-611,262,"10,830","-10,506",1.351,32,59.6 %,0 %
143,"2,791,765",-0.71 %,"-19,890",102,"27,400","-24,472",1.341,37,69 %,0 %
144,"2,759,988",2.3 %,"62,143",273,"10,120","-2,989",3.907,18,60.5 %,0 %
145,"2,538,952",2.18 %,"54,163",10,"257,670","1,105",3.592,22,83.7 %,0 %
146,"2,521,139",1.65 %,"40,895",4,"566,730","-5,778",2.703,23,75.1 %,0 %
147,"2,337,423",1.12 %,"25,951",77,"30,360","-5,107",2.664,22,32.2 %,0 %
148,"2,201,352",2.23 %,"48,013",78,"28,120","-1,712",3.757,19,45.7 %,0 %
149,"2,118,697",0.01 %,301,105,"20,140","3,319",1.576,44,55.4 %,0 %
150,"1,892,516",2.43 %,"44,967",67,"28,050","3,891",4.116,21,62.9 %,0 %
151,"1,871,871",-0.56 %,"-10,525",30,"62,200","-2,225",1.342,43,67.2 %,0 %
152,"1,823,009",-0.48 %,"-8,793",72,"25,220","-5,728",1.467,41,68.6 %,0 %
153,"1,607,049",2.38 %,"37,383","2,115",760,"22,699",1.805,33,N.A.,0 %
154,"1,507,782",0.32 %,"4,850",294,"5,130","1,334",1.536,37,49.1 %,0 %
155,"1,400,638",1.18 %,"16,352",94,"14,870","-2,552",2.627,21,35.3 %,0 %
156,"1,360,546",-0.49 %,"-6,650",32,"42,390","-7,742",1.363,42,66.1 %,0 %
157,"1,358,282",0.99 %,"13,306",147,"9,240","8,138",1.38,38,61.2 %,0 %
158,"1,271,169",-0.19 %,"-2,419",626,"2,030","-2,787",1.225,37,41.3 %,0 %
159,"1,242,822",1 %,"12,316",72,"17,200","-6,754",2.718,22,30.8 %,0 %
160,"1,168,722",1.37 %,"15,778",50,"23,180",-11,2.618,25,71.1 %,0 %
161,"928,784",0.5 %,"4,639",51,"18,270","-3,278",2.27,28,60.3 %,0 %
